0, 44, 299, 0, 1, 4, 6, 34, 833816
1, 3, 196, 0, 4, 5, 1, 69, 75289
2, 100, 247, 1, 3, 10, 5, 86, 408930
3, 30, 52, 0, 3, 8, 7, 30, 88787
4, 60, 91, 1, 2, 3, 7, 62, 188700
5, 41, 137, 1, 4, 6, 5, 2, 990766
6, 42, 14, 0, 1, 8, 4, 19, 275622
7, 64, 88, 1, 1, 1, 7, 74, 557637
8, 36, 130, 1, 3, 6, 5, 80, 367830
9, 51, 284, 1, 4, 7, 8, 11, 357867
10, 78, 36, 0, 4, 4, 3, 5, 867210
11, 94, 93, 1, 3, 3, 6, 29, 249620
12, 38, 201, 0, 2, 5, 7, 2, 215922
13, 68, 264, 1, 3, 3, 8, 15, 903178
14, 37, 344, 0, 3, 8, 10, 20, 913144
15, 94, 15, 0, 3, 6, 10, 61, 745541
16, 11, 263, 1, 1, 4, 8, 76, 699089
17, 83, 52, 1, 3, 8, 1, 89, 955314
18, 82, 310, 1, 4, 9, 10, 52, 826618
19, 42, 70, 0, 1, 3, 8, 68, 419403
20, 37, 158, 1, 1, 8, 6, 52, 661961
21, 3, 218, 0, 4, 3, 1, 30, 402556
22, 34, 196, 0, 3, 1, 3, 77, 186721
23, 91, 216, 1, 1, 2, 5, 65, 393130
24, 1, 151, 0, 3, 9, 3, 39, 958578
25, 71, 181, 0, 1, 1, 9, 95, 678355
26, 9, 258, 1, 2, 5, 9, 92, 665487
27, 3, 196, 0, 4, 9, 3, 24, 584316
28, 43, 264, 1, 1, 5, 9, 70, 723735
29, 98, 323, 0, 4, 10, 1, 37, 937642
30, 47, 228, 0, 4, 3, 9, 64, 606133
31, 77, 180, 1, 4, 6, 4, 13, 857046
32, 5, 115, 0, 3, 10, 5, 96, 646262
33, 34, 45, 0, 4, 2, 5, 62, 616576
34, 43, 99, 1, 2, 5, 8, 60, 35074
35, 25, 280, 0, 4, 3, 1, 28, 92028
36, 47, 265, 1, 1, 8, 6, 32, 230167
37, 21, 347, 0, 1, 6, 6, 80, 981618
38, 97, 257, 0, 4, 5, 6, 22, 217384
39, 59, 308, 0, 2, 1, 8, 65, 16835
40, 79, 326, 0, 3, 7, 8, 52, 896215
41, 38, 342, 1, 3, 10, 1, 22, 269780
42, 12, 198, 0, 2, 4, 3, 65, 682283
43, 28, 110, 1, 1, 2, 7, 53, 158047
44, 30, 287, 0, 2, 3, 3, 24, 576940
45, 66, 316, 0, 2, 6, 10, 24, 571599
46, 49, 329, 1, 2, 10, 1, 46, 177652
47, 40, 153, 0, 4, 2, 3, 18, 562397
48, 15, 291, 1, 1, 1, 10, 70, 910630
49, 87, 91, 0, 3, 2, 1, 50, 463015
50, 99, 333, 0, 2, 2, 1, 83, 138307
51, 0, 311, 0, 3, 7, 9, 10, 893898
52, 14, 241, 1, 4, 7, 10, 64, 66467
53, 26, 174, 0, 1, 4, 6, 49, 541459
54, 73, 247, 0, 1, 6, 2, 54, 530256
55, 90, 234, 1, 3, 7, 5, 48, 541437
56, 61, 222, 0, 2, 3, 5, 84, 717949
57, 68, 272, 0, 4, 6, 4, 39, 916062
58, 88, 175, 1, 1, 4, 2, 10, 851751
59, 4, 333, 1, 3, 9, 9, 53, 566811
60, 57, 84, 0, 3, 4, 5, 20, 544862
61, 79, 253, 1, 2, 3, 2, 42, 922415
62, 25, 305, 0, 1, 5, 5, 34, 479208
63, 100, 259, 1, 1, 9, 4, 35, 380252
64, 42, 184, 1, 1, 5, 8, 83, 35006
65, 32, 152, 1, 1, 1, 10, 77, 44417
66, 54, 263, 1, 3, 3, 6, 1, 155049
67, 93, 349, 0, 3, 5, 2, 55, 824568
68, 26, 247, 1, 1, 4, 7, 17, 563005
69, 20, 254, 1, 3, 10, 8, 12, 546237
70, 65, 128, 0, 3, 10, 9, 56, 513444
71, 69, 269, 1, 4, 7, 5, 70, 294883
72, 58, 95, 1, 4, 8, 1, 15, 140329
73, 55, 234, 0, 2, 2, 3, 87, 725438
74, 98, 94, 0, 1, 2, 4, 4, 188676
75, 55, 252, 1, 4, 1, 10, 83, 595921
76, 43, 179, 0, 3, 7, 6, 75, 879464
77, 95, 60, 1, 3, 9, 4, 67, 158056
78, 49, 96, 1, 3, 7, 3, 30, 557331
79, 49, 227, 1, 2, 9, 10, 74, 144123
80, 100, 242, 1, 2, 1, 2, 87, 955196
81, 60, 295, 0, 3, 4, 5, 38, 475974
82, 42, 125, 0, 1, 3, 2, 56, 903877
83, 27, 189, 0, 4, 6, 7, 99, 48785
84, 0, 156, 0, 2, 1, 6, 37, 868215
85, 44, 75, 1, 1, 5, 6, 86, 659186
86, 67, 179, 0, 2, 10, 5, 100, 601899
87, 9, 135, 1, 4, 10, 9, 66, 562888
88, 89, 262, 1, 2, 7, 2, 47, 223585
